created_at,tweet_id,name,screen_name,retweet_count,text,mined_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
2020-10-28 23:27:25,1321594448652902401,Arizona Republican Party,AZGOP,1477,RT @DanScavino: https://t.co/kYfjpWYjCK,2021-03-01 21:20:58.069814,0,[],22075,,Twitter for iPhone,https://t.co/kYfjpWYjCK,None,None
2020-10-28 23:27:36,1321594494353956864,Arizona Republican Party,AZGOP,16,"RT @jeremiahcota: Thank you POTUS for one last rally!

Arizona loves you!

#FourMoreYears 
#KeepAmericaGreat https://t.co/wsRffKwUwb",2021-03-01 21:20:58.069814,0,"[{'text': 'FourMoreYears', 'indices': [75, 89]}, {'text': 'KeepAmericaGreat', 'indices': [91, 108]}]",22075,,Twitter for iPhone,"Thank you POTUS for one last rally!

Arizona loves you!

#FourMoreYears 
#KeepAmericaGreat https://t.co/wsRffKwUwb",None,None
2020-10-28 23:27:43,1321594523277877249,Arizona Republican Party,AZGOP,143,RT @TrumpStudents: LATINOS LOVE @REALDONALDTRUMP! https://t.co/isoWNO7jCj,2021-03-01 21:20:58.069814,0,[],22075,,Twitter for iPhone,LATINOS LOVE @REALDONALDTRUMP! https://t.co/isoWNO7jCj,None,None
2020-10-28 23:27:50,1321594553598500864,Arizona Republican Party,AZGOP,548,"RT @GOP: “Today, I’m announcing the American Dream Plan. Over the next four years, the American Dream plan will bring more than 2 million j…",2021-03-01 21:20:58.069814,0,[],22075,,Twitter for iPhone,"“Today, I’m announcing the American Dream Plan. Over the next four years, the American Dream plan will bring more than 2 million jobs to Hispanic communities.” -@realDonaldTrump https://t.co/eZtZtdtswj",None,None
2020-10-28 23:28:03,1321594610821459968,Arizona Republican Party,AZGOP,2439,"RT @GOPChairwoman: ARIZONA is fired up and ready to re-elect for @realDonaldTrump!

✅ 23,591 signups for Bullhead City rally

✅ 24.0% NOT R…",2021-03-01 21:20:58.069814,0,[],22075,,Twitter for iPhone,"ARIZONA is fired up and ready to re-elect for @realDonaldTrump!

✅ 23,591 signups for Bullhead City rally

✅ 24.0% NOT Republican

✅ 45.3% (!) did not vote in 2016

Thank you to the thousands of supporters who turned out!",None,None
2020-10-29 01:01:08,1321618036223143937,Arizona Republican Party,AZGOP,9,"Today, and every day, we honor, respect, and thank our heroic first responders and frontline workers for their service and for the sacrifices they and their families make on our behalf. #NationalFirstRespondersDay https://t.co/i37eH3igtY",2021-03-01 21:20:58.069814,24,"[{'text': 'NationalFirstRespondersDay', 'indices': [186, 213]}]",22075,,Twitter Web App,None,None,None
2020-10-29 03:51:28,1321660899594129408,Arizona Republican Party,AZGOP,2,Golfers For Trump! https://t.co/Yh7HahHl32,2021-03-01 21:20:58.069814,66,[],22075,,Twitter for iPhone,None,None,None
2020-10-29 04:11:27,1321665928602419200,Arizona Republican Party,AZGOP,18,"Chairwoman @kelliwardaz released the following statement today after President @realDonaldTrump's rallies in Bullhead City and Goodyear, Arizona: https://t.co/V9l4FbR3ic",2021-03-01 21:20:58.069814,74,[],22075,,Twitter Web App,None,None,None
2020-10-29 04:18:53,1321667801656913920,Arizona Republican Party,AZGOP,806,"RT @WhiteHouse: For too long, the political class—including party leaders, lobbyists, think tanks, media, and more—ignored the concerns of…",2021-03-01 21:20:58.069814,0,[],22075,,Twitter Web App,"For too long, the political class—including party leaders, lobbyists, think tanks, media, and more—ignored the concerns of millions of American families.

The American people wanted change. The establishment didn’t listen. President Trump did.

1600 Daily: https://t.co/A68ueVC88u https://t.co/3mTYIXFm2B",None,None
2020-10-29 05:05:31,1321679533506899968,Arizona Republican Party,AZGOP,29,"RT @KimberlyYeeAZ: Thanks, @realDonaldTrump, for the shout out! With your pro-growth economic policies, AZ's finances are strong &amp; our oper…",2021-03-01 21:20:58.069814,0,[],22075,,Twitter Web App,"Thanks, @realDonaldTrump, for the shout out! With your pro-growth economic policies, AZ's finances are strong &amp; our operating balance is $2 billion more than last year, an +84% YOY increase! 9.3 million U.S. jobs added in 3 months! #GreatAmericanComeback #LeadRight @TeamTrump https://t.co/WLybVORwUQ",None,None
2020-10-29 05:06:19,1321679737844981760,Arizona Republican Party,AZGOP,21,RT @AzFRW: Get it done #AZ01! https://t.co/9Z3Nyjy0dj,2021-03-01 21:20:58.069814,0,"[{'text': 'AZ01', 'indices': [23, 28]}]",22075,,Twitter Web App,Get it done #AZ01! https://t.co/9Z3Nyjy0dj,None,None
2020-10-29 05:07:33,1321680046818357249,Arizona Republican Party,AZGOP,61,"RT @conservatyler: In Arizona, we are seeing Hispanic small business owners going all in for Trump after hearing the Biden Tax plan that wi…",2021-03-01 21:20:58.069814,0,[],22075,,Twitter Web App,"In Arizona, we are seeing Hispanic small business owners going all in for Trump after hearing the Biden Tax plan that will kill their sole prop businesses. 

The radical democrats have gone totally insane and people are waking up. 

🎉 VIVA TRUMP 🎉

🎉 VIVA TRUMP TAX CUTS 🎉 https://t.co/hSF9LM9UEV",None,None
2020-10-29 05:07:44,1321680094151155714,Arizona Republican Party,AZGOP,3387,"RT @ElijahSchaffer: DEVELOPING: local philadelphia resident says the ongoing BLM riots &amp; civil unrest 

are leading people in this swing st…",2021-03-01 21:20:58.069814,0,[],22075,,Twitter Web App,"DEVELOPING: local philadelphia resident says the ongoing BLM riots &amp; civil unrest 

are leading people in this swing state to vote for @realDonaldTrump https://t.co/NqAFT3VdOB",None,None
